'Rory', 'rory@gmail.com', 'mentor', 'hicool?1'
'Charlie', 'charlie@gmail.com', 'student', 'hicool?2'
'Jules', 'jules@gmail.com', 'student', 'hicool?3'
'Jade', 'jade@gmail.com', 'student', 'hicool?4'
'Jess', 'jess@gmail.com', 'student', 'hicool?5'
'MacAndCheese', 'mac@gmail.com', 'student', 'hicool?6'
'Dean', 'dean@gmail.com', 'student', 'hicool?7'
'Julie', 'julie@gmail.com', 'student', 'hicool?8'
'Attila', 'attila@gmail.com', 'mentor', 'hicool?9'
'Kate', 'kate@gmail.com', 'student', 'hicool?10'
'Bálint', 'balint@gmail.com', 'student', 'hicool?11'
'Rupert', 'rupert@gmail.com', 'student', 'hicool?12'
'Roger', 'roger@gmail.com', 'student', 'hicool?13'
'Lorelei', 'lorelei@gmail.com', 'student', 'hicool?14'
'Marie-Claire', 'marieclaire@gmail.com', 'student', 'hicool?15'
'Brandon', 'brandon@gmail.com', 'student', 'hicool?16'
'Tamy', 'tamy@gmail.com', 'mentor', 'hicool?17'
'Andi', 'andi@gmail.com', 'student', 'hicool?18'
'Berta', 'berta@gmail.com', 'mentor', 'hicool?19'
